Twitter ID,氏名,プロフィール
herumi,光成 滋生,光成滋生 MITSUNARI Shigeo/目指せ生涯ランニングプログラマ/x86最適化と数学と暗号が好き/サイボウズ・ラボ/x86/x64最適化勉強会/日本応用数理学会JANT幹事/C++WG委員/クラウドを支えるこれからの暗号技術 http://t.co/gdS9zBUWlV
hidekingZ,吉本 英樹,吉本英樹です。飛行船、Beatfly、fluff。いまは東大。さいきんは未踏。秋からロンドンRCAでPh.D。
hillbig,岡野原 大輔,"PFI, PFNで取締役副社長をしてます。深層学習/人工知能/データ構造/アルゴリズム/大規模分散並列/NLPが好きです。Go,C++"
hiromu1996,矢倉 大夢,"人工無能実験アカウント
未踏, セキュリティスペシャリスト, spcamp2010-linux, coins2015"
hiroshiishiguro,石黒 浩,アンドロイド、知能ロボット、芸術、哲学に興味を持つロボット学の研究者.著書に「ロボットとは何か」（講談社現代新書）など．
hirosk,小出 洋,プログラミングと天体観測と真空管が好き．未踏スーパークリエータ．言語はJava/Lisp/Scala．システムコールはmmap．CPUは6502．電通大MMA→原研→九工大工学部→九工大情報工学部
hiroto_y,矢萩 寛人,"湘南の山の中に通う大学生。元未踏クリエーター。PHP,AdobeFlexなど。セキュキャンなひと。大学では萩野・服部研にいます。"
hitomi0905,辻田 眸,"日常の人の行動や身近な日用品を利用したインタフェースの研究を行っています。博士(理学)
2006年下期「未踏ソフトウェア創造事業」"
hkondo,近藤 秀樹,"個人的なアカウントで所属等には一切関係ありません．
未踏スーパークリエータ/活動履歴の応用/ライフログ/ruby/emacs/chrome/認知科学/学習科学/教育工学/調理/製菓/JCSS/IPSJ/WISS/プロシン/ストレージ大好き"
hktechno,川田 裕貴,"Open Design Computer Project (未踏2011, スーパーなんとか), cs.tsukuba,ac.jp REAL Lab (OS), coins09 AC, PyCon JP, モータースポーツ好き"
horo,保呂 毅,2006年未踏やってました。スパクリ頂きました。昔はSIerに勤めてました。今は某ネット系企業に勤めてます。私の発言は、私の所属している組織とはまったく関係ありません。
imasahiro,井出 真広,"横浜国大D3/スクリプト言語KonohaScriptの開発をしています。https://t.co/htIMy9Ma7k

2010年度未踏ユースクリエータ"
ina_ani,稲津 和磨,"JavaScriptから電子工作まで 新しいこと好きです！
 作ってるもの一覧 → http://t.co/L8S6dD6yoM

※各種発言は個人的見解によるもので所属する組織・団体とは関係ないデス"
infoplosion,喜連川 優,
jun_0301,今村 淳,"【趣味】音楽全般・ボード・クラビング／
【興味】遺伝子科学・AR（拡張現実感）／
【専門】人工知能・自然言語処理／
未踏OB（08年下期）／
現在、Androidアプリ（Angel Browser）を開発しています★"
kazuho,奥 一穂,Software Engineer (R&D specialist)
kengon,酒井 憲吾,"Software Engineer, IPA未踏スーパークリエータ,  takt developer http://t.co/cRt8lSBZ"
kubohiroya,久保 裕也,プログラマとして、マークシート処理・調査実施内容についての知識共有を支援するオープンソースソフトウェアSQSを作っています(→IPA未踏スパクリ認定)。大学教員としては、年々広がる学生とのジェネレーションギャップと戦っています。三人娘(含む双子)を育児中。
kujirahand,酒徳 峰章,アプリの開発をしたり、執筆したりの毎日。代表作に日本語プログラミング言語「なでしこ」など。
kur,木浦 幹雄,デザイナーで、エンジニアで、研究者。新しいことを考えて、形にすることがお仕事です。未踏スーパークリエータ。HCIとかCVとかに興味あります。趣味はバイオリン、読書、ゴルフ、ダイビング、バイク、自転車、食べ放題など。空気を読むことと自重は苦手科目です。
kyoro353,井上 恭輔,エンジニアをしているWebな人です。ミクシィで「DeployGate」というサービスを立ち上げました。06年度上期未踏ユース採択者でスパクリ。NFCを使ったAndroidアプリ「taglet」「meets」でAndroid Application Award 2011を受賞しました。巫女と袴が大好き。
lalha2,小野 和俊,1976年生まれ。アプレッソ代表取締役社長兼現役プログラマー。DataSpider開発者。未踏ソフトウェアGalapagosプロジェクト共同開発者。まとまった話はブログの方で
lizan,周 礼贊,"Software Engineer in Bay Area. English and Chinese account is @zlizan. Like food, travel and photography. インター09/筑駒57/spcamp07/似非IS11er/TSG/A103/未踏09下"
magie_pooh,藤田 琢磨,CA14/Androider/新卒社会人1年目/趣味はマジック・催眠術などなど。尿酸値は高め。/未踏12/AmebaのAndroidなエンジニア/
marikoakin,林 摩梨花,工作萌え女子。 MakerFaireTaipei行った。電子部品、中古屋、機械油の臭い、美術準備室が好き。元RoboTech。IPA未踏スパクリ。起業。最近はブレッドボード研究。@mrk_hと同じ人です。
masafumisano,佐野 将史,未踏ユース2007年度下期クリエータ。UXデザイナー／デベロッパー。
masota0517,大田 昌幸,"マイクロソフトで Web, mobile を中心に啓蒙活動を行うエバンジェリスト
主に、スタートアップ、学生の方々とお話をするのが好きです。
未踏クラスターでもあります。"
masui,増井 俊之,Professor at Keio University (SFC)
milkya,小野 永貴,"ProjectShizuku発起人で、にゃふにゃふ動画開発者。現在は図書館情報学の大学教員と社会人院生を並立しつつ、高校情報科の非常勤講師も兼任。未踏ユースOB，元ILC研究員，初代図情AC。［キーワード］電子図書館,学校図書館システム,高大連携,貸出履歴,情報教育,学園祭,生中継,筑波,知識,春日,お茶,アカリン"
moriakit,森川 亮,起業家
nanaushi,山下 聖悟,"ものづくりがともかく大好き。
Spcamp 2010 NW組/未踏ユース2010
/アメリカ横断workshop/ヴルカヌスインヨーロッパ2015"
niigata_ken,長井 啓友,長岡高専/高専プロコン/新潟大学/IPA未踏スパクリ認定/信号・画像処理/情報検索/ＩＴベンチャー企業/笑う新潟犬/新潟県をシリコンバレーに/新潟県を秋葉原に/WaterCell株式会社代表取締役/アグリノート事業/
nishio,西尾 泰和,"Dr. NISHIO Hirokazu(Doctor of Science, Master of Technology Management) is a researcher in Cybozu."
ochyai,落合 陽一,メディアアーティスト・研究者／ 経産省未踏・総務省異能／筑波大助教へ着任準備／東京大学／人呼んで現代の魔法使い，最近はTVや本も／計算機資源を用いて物理的に魔法の世紀を実現し21世紀の思想を作る／アイコンはせらさん作／取材や講演のご依頼は御気軽にochyai_manage@orange-p.co.jpへ
pcoco,寺岡 宏彰,"ソーシャルメディアが持つセレンディピティ的力がライフテーマ。世の中にいいサービスや思いがあふれかえる構造を作りたい。仕事での最近のフォーカスは音楽,映画,映像領域。
写真,ポラロイド,SX-70,ハッセル,ランニング,シュライヒ,清澄白河,二子玉川,学芸大学,鎌倉,ハナレグミ,コスタリカ,ブラジル,未踏ソフト,ビール"
phyro,加藤 史洋,"IPA認定未踏スーパークリエータ。生活を科学、工学するPh.D学生。
散策と料理と海と空想が趣味。春は散策。夏は海。秋はﾌｧﾝﾀｼﾞｰ。冬は備え。料理、木工・電子工作、プログラミングなどものづくりが大好き。料理研究家、サイエンスコミュニケータ。"
plusadd,小池 宏幸,イマドキのITお兄ちゃん。スマート電子楽譜 @piaScore http://t.co/T6ZKbcqPk3 プラスアド代表。スタートアップ。アマチュアピアノ弾き。
ray_fox,西川 玲,"株式会社アウン・インターフェース。
iOSアプリを中心としたソフトウェア開発会社。
iPhone / iPad向け動画再生アプリ「ウゴトル」公開中。
代表：IPA未踏2008上期プロジェクト 未踏スーパークリエータ。博士（工学）。"
sei06k14,竹田 聖,某ペンペンな学校の高１/ボーンが得意/プログラマー/ios/js/linux/Rails/web関係/趣味は音楽/2014年度未踏クリエイター/
sgss,松田 聖大,"デザインとエンジニアリングの間を彷徨う / takram design engineering / 東京大学大学院 暦本研究室 修士課程（休学中）/ 未踏ユース ’08 上期スーパークリエイタ
Private: @matsudashota"
shi3z,清水 亮,"CEO of UEI , ARC
http://t.co/RrN2aGRFNl http://t.co/2MS9q6O5f9"
shimshamshimmy,村井 純,村井純　村井　純
shokai,橋本 翔,橋本翔は、大阪府東大阪市に本社を置くアミューズメント施設用機器の販売、専用景品の製造、販売を行う企業である。
shudo,首藤 一幸,
skk_mimi,榊原 寛,1980年生。2010年慶應義塾大学政策・メディア研究科博士課程単位取得退学。主にCPSネットワークなどの研究に従事。IPA 未踏事業獲得。学振特別研究員。現BPS取締役。主に電子書籍事業に従事。EPUB3関連開発推進責任者。MangaRebornを通じたマンガの海外展開戦略策定。現慶應義塾大学環境情報学部非常勤講師。
sla,比戸 将平,"Chief Research Officer at Preferred Networks America. Working between IoT, machine learning, product mgmt, and coffee. Hope going back to Kyoto some day."
sowawa,曾川 景介,sowasowasowawa.
spagetty,後藤 正樹,未踏スーパークリエータ / 琉球フィル副指揮者 / 4starオーケストラ指揮者 / 株式会社コードタクト代表取締役 / 日本デジタル教科書学会役員
sugar_ayaka,佐藤 彩夏,"Ph.D. student at The University of Tokyo (Rekimoto Lab.)
Computer Science, HCI, Ubicomp, etc..
東大暦本研・お茶大椎尾研・慶應SFC安村研・未踏ユース・suGATALOGアプリ: http://t.co/wKSJ4iXJ6B"
taisa11,佐藤 知裕,名古屋在住でモバイル事業企画中。元IPA未踏クリエーターの未来派野郎。 興味：メディア論、現代アート、エレクトロニカ、AR、flash、古代史
takao_mofumofu,伊藤 隆朗,ソフトイーサ株式会社 グラフィック部門。IPA未踏ユース2006上スーパークリエータ。 QUMAの開発メンバの一人です。キャラミん OMP/Studioの開発やってます。筑波大学VisLab
tanichu,谷口 忠大,谷口忠大、たにちゅー、立命館大学情報理工学部准教授．プライベートアカ．新刊「イラストで学ぶ人工知能概論」「記号創発ロボティクス」発売中。創発システム論．ビブリオバトル発案者・同普及委員会代表，主著「コミュニケーションするロボットは創れるか」「ビブリオバトル」元未踏開発者、超交流会、あいちゃれ発起人
tetha,林 徹也,"(有)ビューポイントテクノロジーの店主兼店員
Smalltalkを大体操る程度の能力を持つ
品揃え：ソフト可視化改善,ツール開発,教育研修.
取寄せ中：OpenCL,定理証明器,etc
その他：未踏Alan Kay http://t.co/EEHvjXP7ev
 http://t.co/w7k4BZNGzY"
tgbt,大島 聡史,某D2大出身の某T大教員。属性：並列数値計算/自鯖/Linux/Win8.1/Android/デジカメ/SurfacePro3/Ingress/アニメ/ゲーム。某x68/某群青/未踏ユースあたりの関係者。フォロー/リムご自由に。連続POST/実況にご注意。アラサー。
tikal,平藤 燎,ハックもクックも大好きです♪ / 東大ニコ研 / つくば産 / プログラマ / ドール / STG / 墓・寺・神社・お稲荷様 / 無性愛・性って何 / 10万10歳 / 色々な意味で魔女っ娘ワナビー / 未踏2012スーパークリエイタ@ファミコン / spcamp2010 / 肖像画は@leviathan_841作
tnatsu,夏野 剛,夏野剛です。早稲田出身なのに慶應SFCの特別招聘教授やってます。意図せず波瀾万丈な人生をおくることになってしまいました。少しでも世の中がよくなるようなことしたいと思ってます。よろしくお願い致します。
tokoroten,中山 心太,"中島飛行機の跡地で不発弾探索の任務中、不発弾の爆発により負傷。名誉除隊後、民間企業に復帰し生活再建の道を目指している。

セキュリティとかゲームデザインとか、データ分析とかそのへん。

そういえばゲームが出たらしいっすよ。
http://t.co/YZa6Ekjf"
toshiyatw,福井 登志也,ICTメインの経営コンサルタントです。最近は色々なCMSのソースをハックするのが趣味になりつつあります。2007年度独立行政法人情報処理推進機構(IPA)未踏ソフトウェア創造事業プログラマ
tty,山本 哲也,博士（工学）。ウェアラブル、インタラクションなどコンピュータに関わることをいろいろとやってます。未踏2010。
uchhr,内平 博貴,マスコミ系企業の技術者。大学時代は情報科学で書道を対象にした研究をしていた。2009年度上期未踏ユースクリエータ。スーパークリエータ認定。
ued_m,上田 真史,未踏ユースOB / 電気通信大学OB / 乗り鉄 / 日本酒党 / 秋田県産 / does speak English
viscuit,原田 康徳,"ビジュアル言語Viscuitの開発者です．コンピュータを粘土にしよう．
プライベートなつぶやきは @haradayasunori でやってます．"
yamazoe,山添 隆文,モバイル関係の仕事をしています。趣味で画像認識関係のこともしていて、気が向いたときにニコニコ動画に投稿したりしています。2008年度下期未踏、KMD-D1
yanoshin,矢野 慎一郎,おもちゃIoTの『すくすく』やってます http://t.co/laFxywnNTQ　ブレッソン・アンド・ビズ代表取締役 矢野慎一郎 開発したり、IPA未踏ソフトウェアに採択されたり、わくわくオープンラボやったり、色々。 あとなぜか2級FP技能士。
yayugu,矢口 裕也,GREE / Animetick for iOSつくったりしてる
yiizuka,飯塚 豊,AIRFRONT社代表取締役。85年JUNET、88年ニフティとWIDEと黎明期からのネットユーザ。90年代はパソコン通信統合環境とマルチメディア制作環境、00年以降はネットアプリの技術開発。IPA未踏認定の元天才プログラマ。Mac歴25年、AndroidとiPhoneの２台持ち。アウトドアとカメラとワイン好きです。
yuichi1004,村田 雄一,"ソフトウェアエンジニア．現在，赤いマークの周辺機器メーカ勤務．勤務地テキサス．

群馬高専，筑波大学(院)，卒業．2008年度未踏ユースにてスーパークリエータなど．"
yuichi110,伊藤 裕一,"ネットワークとプログラミングでご飯食べてるインフラエンジニア。DataCenter向け製品とLinux, SDNが得意。業務用と趣味のアプリケーション、サービスを開発公開しています。CCIE 38xxx, 東京大学, IPA未踏OB"
yujikosuga,小菅 祐史,"Security@LinkedIn. Security Contributor to Twitter, Facebook, Google, GitHub, Apple, Microsoft, Dropbox, Redhat, Adobe, Zynga, eBay, BlackBerry + many. PhD"
yukihiro_matz,松本 行弘,Rubyのパパ
